order_id,order_date,order_hour,order_weekday,is_weekend,is_holiday,is_sale_period,customer_city,customer_state,customer_zone,customer_tier,warehouse_id,warehouse_city,same_zone_delivery,product_category,product_weight_g,product_price_inr,discount_percent,final_price_inr,shipping_mode,payment_method,promised_days,actual_days,promised_date,actual_date,delay_days,is_delayed,delay_category,delivery_attempts,customer_rating,return_requested,weather_conditions,traffic_conditions
FK2023000028,2023-05-16,15,Tuesday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH007,Chandigarh,0,Books,125,425.92,50,212.96,Standard,UPI,7,8,2023-05-23,2023-05-24,1,1,Slight Delay,2,3,0,Rain,Moderate
FK2023000029,2023-12-20,14,Wednesday,0,0,1,Mysuru,Karnataka,South,Tier3,WH005,Hyderabad,1,Beauty,396,510.06,70,153.02,Standard,UPI,4,7,2023-12-24,2023-12-27,3,1,Moderate Delay,2,3,0,Fog,Moderate
FK2023000030,2023-08-13,14,Sunday,1,0,0,Jabalpur,Madhya Pradesh,Central,Tier3,WH002,Mumbai,0,Books,326,656.63,15,558.14,Standard,Credit Card,5,12,2023-08-18,2023-08-25,7,1,Severe Delay,3,2,1,Clear,Heavy
FK2023000031,2023-06-23,9,Friday,0,0,0,Agra,Uttar Pradesh,North,Tier3,WH004,Kolkata,0,Automotive,1191,5379.74,15,4572.78,Standard,Debit Card,5,12,2023-06-28,2023-07-05,7,1,Severe Delay,2,1,0,Clear,Moderate
FK2023000032,2023-02-06,13,Monday,0,0,0,Jaipur,Rajasthan,North,Tier2,WH002,Mumbai,0,Electronics,1389,29765.87,25,22324.4,Express,UPI,3,4,2023-02-09,2023-02-10,1,1,Slight Delay,2,4,0,Fog,Moderate
FK2023000033,2023-02-06,8,Monday,0,0,0,Indore,Madhya Pradesh,Central,Tier2,WH005,Hyderabad,0,Grocery,2559,499.8,15,424.83,Standard,Credit Card,7,7,2023-02-13,2023-02-13,0,0,On Time,1,3,0,Clear,Light
FK2023000034,2023-03-09,16,Thursday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH008,Pune,0,Books,452,699.54,40,419.72,Standard,UPI,6,5,2023-03-15,2023-03-14,-1,0,Early,1,5,0,Fog,Heavy
FK2023000035,2023-04-08,15,Saturday,1,0,0,Delhi,Delhi,North,Tier1,WH007,Chandigarh,1,Toys,868,3323.45,30,2326.41,Express,Credit Card,2,2,2023-04-10,2023-04-10,0,0,On Time,1,5,0,Storm,Moderate
FK2023000036,2023-07-30,7,Sunday,1,0,0,Vadodara,Gujarat,West,Tier2,WH001,Delhi,0,Fashion,190,385.64,0,385.64,Standard,Debit Card,6,11,2023-08-05,2023-08-10,5,1,Moderate Delay,1,3,0,Clear,Light
FK2023000037,2023-06-23,8,Friday,0,0,0,Jaipur,Rajasthan,North,Tier2,WH004,Kolkata,0,Books,587,540.26,50,270.13,Express,Net Banking,3,3,2023-06-26,2023-06-26,0,0,On Time,1,5,0,Clear,Light
FK2023000038,2023-08-18,23,Friday,0,0,0,Kochi,Kerala,South,Tier2,WH003,Bengaluru,1,Sports,1355,3290.14,40,1974.08,Express,UPI,2,2,2023-08-20,2023-08-20,0,0,On Time,1,5,0,Clear,Moderate
FK2023000039,2023-05-08,8,Monday,0,0,0,Chandigarh,Punjab,North,Tier2,WH002,Mumbai,0,Electronics,4532,41409.69,70,12422.91,Express,UPI,3,2,2023-05-11,2023-05-10,-1,0,Early,1,5,0,Rain,Heavy
FK2023000040,2023-10-04,11,Wednesday,0,0,0,Delhi,Delhi,North,Tier1,WH004,Kolkata,0,Home & Kitchen,7615,14283.8,30,9998.66,Express,Debit Card,3,3,2023-10-07,2023-10-07,0,0,On Time,1,5,0,Clear,Moderate
FK2023000041,2023-09-06,18,Wednesday,0,0,0,Pune,Maharashtra,West,Tier1,WH007,Chandigarh,0,Electronics,3990,9114.08,10,8202.67,Express,UPI,3,3,2023-09-09,2023-09-09,0,0,On Time,1,5,0,Clear,Moderate
FK2023000042,2023-07-14,9,Friday,0,0,0,Chandigarh,Punjab,North,Tier2,WH005,Hyderabad,0,Grocery,3855,637.31,20,509.85,Standard,UPI,6,11,2023-07-20,2023-07-25,5,1,Moderate Delay,2,1,1,Storm,Light
FK2023000043,2023-12-23,23,Saturday,1,0,1,Ujjain,Madhya Pradesh,Central,Tier3,WH008,Pune,0,Home & Kitchen,3181,5874.31,15,4993.16,Express,Cash on Delivery,3,3,2023-12-26,2023-12-26,0,0,On Time,1,4,0,Clear,Light
FK2023000044,2023-06-01,15,Thursday,0,0,0,Bengaluru,Karnataka,South,Tier1,WH001,Delhi,0,Toys,934,4559.87,0,4559.87,Standard,Credit Card,5,4,2023-06-06,2023-06-05,-1,0,Early,1,4,0,Fog,Moderate
FK2023000045,2023-10-27,16,Friday,0,0,0,Nagpur,Maharashtra,West,Tier2,WH003,Bengaluru,0,Electronics,3781,47502.76,50,23751.38,Same-Day,Credit Card,1,1,2023-10-28,2023-10-28,0,0,On Time,1,5,1,Clear,Moderate
FK2023000046,2023-02-11,22,Saturday,1,0,0,Bengaluru,Karnataka,South,Tier1,WH002,Mumbai,0,Books,130,723.8,30,506.66,Express,EMI,3,3,2023-02-14,2023-02-14,0,0,On Time,1,5,0,Rain,Moderate
FK2023000047,2023-03-03,17,Friday,0,0,0,Indore,Madhya Pradesh,Central,Tier2,WH001,Delhi,0,Automotive,2890,12737.38,5,12100.51,Express,Cash on Delivery,3,3,2023-03-06,2023-03-06,0,0,On Time,1,5,0,Clear,Light
FK2023000048,2023-08-03,16,Thursday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH006,Bhopal,1,Sports,976,1910.91,15,1624.27,Standard,Credit Card,4,12,2023-08-07,2023-08-15,8,1,Severe Delay,3,2,0,Rain,Heavy
FK2023000049,2023-05-03,11,Wednesday,0,0,0,Guwahati,Assam,East,Tier3,WH003,Bengaluru,0,Sports,2478,5635.48,40,3381.29,Standard,Cash on Delivery,6,6,2023-05-09,2023-05-09,0,0,On Time,1,5,0,Clear,Light
FK2023000050,2023-02-07,21,Tuesday,0,0,0,Chandigarh,Punjab,North,Tier2,WH002,Mumbai,0,Fashion,879,512.53,50,256.26,Standard,Credit Card,5,5,2023-02-12,2023-02-12,0,0,On Time,1,5,0,Clear,Moderate
FK2023000051,2023-09-17,22,Sunday,1,0,0,Bhubaneswar,Odisha,East,Tier2,WH006,Bhopal,0,Fashion,857,4240.14,15,3604.12,Standard,Credit Card,6,11,2023-09-23,2023-09-28,5,1,Moderate Delay,3,4,0,Rain,Heavy
FK2023000052,2023-05-26,15,Friday,0,0,0,Kochi,Kerala,South,Tier2,WH005,Hyderabad,1,Automotive,4683,18922.93,70,5676.88,Express,UPI,2,2,2023-05-28,2023-05-28,0,0,On Time,1,5,0,Rain,Moderate
FK2023000053,2023-09-28,17,Thursday,0,0,0,Amritsar,Punjab,North,Tier3,WH005,Hyderabad,0,Fashion,656,1983.36,10,1785.02,Standard,Debit Card,6,6,2023-10-04,2023-10-04,0,0,On Time,1,5,0,Fog,Light
FK2023000054,2023-03-01,15,Wednesday,0,0,0,Amritsar,Punjab,North,Tier3,WH003,Bengaluru,0,Sports,2654,3526.12,20,2820.9,Standard,UPI,7,11,2023-03-08,2023-03-12,4,1,Moderate Delay,1,1,1,Fog,Heavy
FK2023000055,2023-04-18,12,Tuesday,0,0,0,Bhubaneswar,Odisha,East,Tier2,WH005,Hyderabad,0,Furniture,12208,20827.71,40,12496.63,Standard,Cash on Delivery,6,10,2023-04-24,2023-04-28,4,1,Moderate Delay,2,2,0,Fog,Moderate
FK2023000056,2023-01-27,22,Friday,0,0,0,Amritsar,Punjab,North,Tier3,WH007,Chandigarh,1,Sports,611,7449.41,0,7449.41,Standard,UPI,3,3,2023-01-30,2023-01-30,0,0,On Time,1,4,0,Fog,Moderate
FK2023000057,2023-06-20,10,Tuesday,0,0,0,Mysuru,Karnataka,South,Tier3,WH005,Hyderabad,1,Home & Kitchen,884,2368.76,40,1421.26,Standard,UPI,4,4,2023-06-24,2023-06-24,0,0,On Time,1,4,0,Clear,Light
FK2023000058,2023-10-15,13,Sunday,1,0,0,Delhi,Delhi,North,Tier1,WH002,Mumbai,0,Home & Kitchen,5440,2998.64,50,1499.32,Standard,UPI,5,6,2023-10-20,2023-10-21,1,1,Slight Delay,1,3,0,Rain,Moderate
FK2023000059,2023-07-09,10,Sunday,1,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH003,Bengaluru,0,Beauty,213,1056.49,10,950.84,Standard,UPI,5,6,2023-07-14,2023-07-15,1,1,Slight Delay,2,5,0,Clear,Heavy
FK2023000060,2023-06-07,11,Wednesday,0,0,0,Kolkata,West Bengal,East,Tier1,WH006,Bhopal,0,Books,664,623.78,70,187.13,Standard,UPI,5,5,2023-06-12,2023-06-12,0,0,On Time,1,5,0,Clear,Moderate
FK2023000061,2023-12-08,18,Friday,0,0,0,Lucknow,Uttar Pradesh,North,Tier2,WH007,Chandigarh,1,Automotive,509,5422.52,10,4880.27,Express,Cash on Delivery,2,1,2023-12-10,2023-12-09,-1,0,Early,1,5,0,Clear,Light
FK2023000062,2023-05-02,10,Tuesday,0,0,0,Chennai,Tamil Nadu,South,Tier1,WH007,Chandigarh,0,Electronics,1492,31428.16,10,28285.34,Standard,UPI,7,8,2023-05-09,2023-05-10,1,1,Slight Delay,2,4,0,Fog,Moderate
FK2023000063,2023-06-20,18,Tuesday,0,0,0,Vadodara,Gujarat,West,Tier2,WH004,Kolkata,0,Sports,1595,1151.9,10,1036.71,Standard,Debit Card,7,8,2023-06-27,2023-06-28,1,1,Slight Delay,1,3,0,Rain,Heavy
FK2023000064,2023-02-25,15,Saturday,1,0,0,Mumbai,Maharashtra,West,Tier1,WH008,Pune,1,Books,349,790.56,15,671.98,Express,UPI,2,2,2023-02-27,2023-02-27,0,0,On Time,1,4,0,Clear,Light
FK2023000065,2023-08-24,11,Thursday,0,0,0,Patna,Bihar,East,Tier3,WH004,Kolkata,1,Books,221,727.74,0,727.74,Standard,Credit Card,3,2,2023-08-27,2023-08-26,-1,0,Early,1,5,0,Clear,Light
FK2023000066,2023-07-24,20,Monday,0,0,1,Patna,Bihar,East,Tier3,WH002,Mumbai,0,Sports,2487,2434.27,25,1825.7,Standard,Debit Card,7,10,2023-07-31,2023-08-03,3,1,Moderate Delay,2,3,0,Clear,Moderate
FK2023000067,2023-09-18,11,Monday,0,0,0,Vadodara,Gujarat,West,Tier2,WH006,Bhopal,0,Electronics,2242,41593.61,5,39513.93,Standard,UPI,6,9,2023-09-24,2023-09-27,3,1,Moderate Delay,1,2,0,Fog,Moderate
FK2023000068,2023-04-02,7,Sunday,1,0,0,Raipur,Chhattisgarh,Central,Tier3,WH001,Delhi,0,Fashion,402,931.75,60,372.7,Standard,EMI,6,6,2023-04-08,2023-04-08,0,0,On Time,1,5,0,Fog,Moderate
FK2023000069,2023-06-26,15,Monday,0,0,0,Guwahati,Assam,East,Tier3,WH002,Mumbai,0,Beauty,262,882.5,60,353.0,Standard,Cash on Delivery,5,5,2023-07-01,2023-07-01,0,0,On Time,1,5,0,Clear,Light
FK2023000070,2023-05-11,9,Thursday,0,0,0,Amritsar,Punjab,North,Tier3,WH007,Chandigarh,1,Electronics,519,59807.41,50,29903.71,Standard,Cash on Delivery,3,3,2023-05-14,2023-05-14,0,0,On Time,1,4,0,Storm,Heavy
FK2023000071,2023-07-06,19,Thursday,0,0,0,Mumbai,Maharashtra,West,Tier1,WH006,Bhopal,0,Automotive,4091,10699.78,25,8024.84,Express,Cash on Delivery,3,3,2023-07-09,2023-07-09,0,0,On Time,1,5,0,Rain,Heavy
FK2023000072,2023-12-06,11,Wednesday,0,0,0,Amritsar,Punjab,North,Tier3,WH005,Hyderabad,0,Furniture,15204,26130.58,20,20904.46,Standard,Cash on Delivery,7,13,2023-12-13,2023-12-19,6,1,Severe Delay,2,1,0,Clear,Moderate
FK2023000073,2023-07-29,16,Saturday,1,0,0,Guwahati,Assam,East,Tier3,WH005,Hyderabad,0,Furniture,7363,8685.06,10,7816.55,Express,Debit Card,3,3,2023-08-01,2023-08-01,0,0,On Time,1,4,0,Clear,Moderate
FK2023000074,2023-04-09,10,Sunday,1,0,0,Vadodara,Gujarat,West,Tier2,WH007,Chandigarh,0,Home & Kitchen,6028,986.22,60,394.49,Express,Net Banking,3,8,2023-04-12,2023-04-17,5,1,Moderate Delay,1,3,1,Storm,Heavy
FK2023000075,2023-10-19,12,Thursday,0,0,0,Guwahati,Assam,East,Tier3,WH001,Delhi,0,Sports,2432,1624.38,20,1299.5,Standard,Debit Card,5,8,2023-10-24,2023-10-27,3,1,Moderate Delay,2,2,0,Fog,Moderate
FK2023000076,2023-08-09,9,Wednesday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH006,Bhopal,1,Grocery,4560,604.22,40,362.53,Standard,Credit Card,4,7,2023-08-13,2023-08-16,3,1,Moderate Delay,2,2,1,Storm,Heavy
FK2023000077,2023-12-12,20,Tuesday,0,0,0,Coimbatore,Tamil Nadu,South,Tier3,WH008,Pune,0,Home & Kitchen,7477,8694.43,70,2608.33,Standard,Cash on Delivery,5,8,2023-12-17,2023-12-20,3,1,Moderate Delay,2,2,0,Rain,Heavy
FK2023000078,2023-05-26,21,Friday,0,0,0,Ujjain,Madhya Pradesh,Central,Tier3,WH006,Bhopal,1,Fashion,933,2418.95,15,2056.11,Standard,EMI,4,10,2023-05-30,2023-06-05,6,1,Severe Delay,3,1,0,Storm,Moderate
FK2023000079,2023-04-26,12,Wednesday,0,0,0,Chennai,Tamil Nadu,South,Tier1,WH001,Delhi,0,Electronics,462,28145.38,15,23923.57,Same-Day,UPI,1,1,2023-04-27,2023-04-27,0,0,On Time,1,5,0,Clear,Light
FK2023000080,2023-09-01,12,Friday,0,0,0,Bhopal,Madhya Pradesh,Central,Tier2,WH008,Pune,0,Beauty,381,959.21,70,287.76,Standard,Credit Card,7,9,2023-09-08,2023-09-10,2,1,Slight Delay,1,5,0,Clear,Moderate
FK2023000081,2023-04-10,15,Monday,0,0,0,Surat,Gujarat,West,Tier2,WH007,Chandigarh,0,Books,542,109.17,10,98.25,Express,UPI,3,5,2023-04-13,2023-04-15,2,1,Slight Delay,1,5,0,Clear,Heavy
FK2023000082,2023-12-02,15,Saturday,1,0,0,Delhi,Delhi,North,Tier1,WH007,Chandigarh,1,Books,146,624.97,10,562.47,Standard,Cash on Delivery,4,5,2023-12-06,2023-12-07,1,1,Slight Delay,1,4,0,Clear,Moderate
FK2023000083,2023-01-26,18,Thursday,0,1,0,Indore,Madhya Pradesh,Central,Tier2,WH002,Mumbai,0,Grocery,2375,548.17,10,493.35,Standard,Credit Card,6,7,2023-02-01,2023-02-02,1,1,Slight Delay,2,5,0,Rain,Heavy
FK2023000084,2023-12-08,11,Friday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH006,Bhopal,1,Grocery,3291,438.3,60,175.32,Standard,UPI,4,3,2023-12-12,2023-12-11,-1,0,Early,1,4,0,Clear,Light
FK2023000085,2023-10-08,17,Sunday,1,0,1,Pune,Maharashtra,West,Tier1,WH008,Pune,1,Grocery,294,148.9,20,119.12,Express,UPI,2,3,2023-10-10,2023-10-11,1,1,Slight Delay,1,4,0,Clear,Heavy
FK2023000086,2023-05-07,19,Sunday,1,0,0,Ranchi,Jharkhand,East,Tier3,WH008,Pune,0,Books,378,567.66,20,454.13,Standard,UPI,6,7,2023-05-13,2023-05-14,1,1,Slight Delay,1,2,1,Rain,Moderate
FK2023000087,2023-02-09,15,Thursday,0,0,0,Bhubaneswar,Odisha,East,Tier2,WH005,Hyderabad,0,Toys,929,4495.56,25,3371.67,Express,UPI,3,3,2023-02-12,2023-02-12,0,0,On Time,1,4,0,Rain,Heavy
FK2023000088,2023-10-04,13,Wednesday,0,0,0,Jaipur,Rajasthan,North,Tier2,WH003,Bengaluru,0,Books,486,405.29,30,283.7,Standard,Cash on Delivery,7,12,2023-10-11,2023-10-16,5,1,Moderate Delay,2,3,0,Rain,Moderate
FK2023000089,2023-03-20,13,Monday,0,0,0,Bengaluru,Karnataka,South,Tier1,WH007,Chandigarh,0,Beauty,60,610.49,25,457.87,Express,Debit Card,3,3,2023-03-23,2023-03-23,0,0,On Time,1,5,0,Fog,Moderate
FK2023000090,2023-10-05,9,Thursday,0,0,0,Surat,Gujarat,West,Tier2,WH001,Delhi,0,Books,290,112.87,30,79.01,Same-Day,UPI,1,1,2023-10-06,2023-10-06,0,0,On Time,1,5,0,Clear,Light
FK2023000091,2023-07-19,10,Wednesday,0,0,0,Ujjain,Madhya Pradesh,Central,Tier3,WH001,Delhi,0,Automotive,362,3169.27,30,2218.49,Express,Cash on Delivery,3,3,2023-07-22,2023-07-22,0,0,On Time,1,4,0,Clear,Light
FK2023000092,2023-09-02,13,Saturday,1,0,0,Lucknow,Uttar Pradesh,North,Tier2,WH005,Hyderabad,0,Beauty,222,1085.94,30,760.16,Standard,UPI,7,10,2023-09-09,2023-09-12,3,1,Moderate Delay,1,2,1,Rain,Moderate
FK2023000093,2023-10-07,12,Saturday,1,0,0,Indore,Madhya Pradesh,Central,Tier2,WH008,Pune,0,Books,603,307.99,20,246.39,Express,Credit Card,3,3,2023-10-10,2023-10-10,0,0,On Time,1,4,1,Rain,Moderate
FK2023000094,2023-08-12,10,Saturday,1,0,0,Mumbai,Maharashtra,West,Tier1,WH007,Chandigarh,0,Toys,1250,541.7,70,162.51,Express,Debit Card,3,2,2023-08-15,2023-08-14,-1,0,Early,1,4,0,Clear,Moderate
FK2023000095,2023-12-14,14,Thursday,0,0,0,Vadodara,Gujarat,West,Tier2,WH003,Bengaluru,0,Grocery,3504,463.09,10,416.78,Standard,Cash on Delivery,7,7,2023-12-21,2023-12-21,0,0,On Time,1,5,0,Rain,Moderate
FK2023000096,2023-10-01,8,Sunday,1,0,0,Chandigarh,Punjab,North,Tier2,WH001,Delhi,1,Fashion,925,943.05,70,282.92,Same-Day,Credit Card,1,1,2023-10-02,2023-10-02,0,0,On Time,1,5,0,Clear,Moderate
FK2023000097,2023-08-08,17,Tuesday,0,0,0,Kochi,Kerala,South,Tier2,WH003,Bengaluru,1,Electronics,3522,68237.26,20,54589.81,Standard,Credit Card,4,4,2023-08-12,2023-08-12,0,0,On Time,1,3,0,Clear,Light
FK2023000098,2023-06-17,21,Saturday,1,0,0,Kochi,Kerala,South,Tier2,WH006,Bhopal,0,Toys,484,2969.34,30,2078.54,Same-Day,UPI,1,1,2023-06-18,2023-06-18,0,0,On Time,1,5,0,Clear,Moderate
FK2023000099,2023-05-23,13,Tuesday,0,0,0,Ahmedabad,Gujarat,West,Tier1,WH002,Mumbai,1,Grocery,4337,852.32,0,852.32,Standard,Cash on Delivery,3,3,2023-05-26,2023-05-26,0,0,On Time,1,4,0,Clear,Moderate
FK2023000100,2023-06-29,17,Thursday,0,0,0,Mysuru,Karnataka,South,Tier3,WH002,Mumbai,0,Electronics,1831,58531.81,0,58531.81,Standard,UPI,5,5,2023-07-04,2023-07-04,0,0,On Time,1,5,0,Clear,Light
FK2023000101,2023-04-13,16,Thursday,0,0,0,Agra,Uttar Pradesh,North,Tier3,WH003,Bengaluru,0,Books,263,117.08,10,105.37,Express,UPI,3,3,2023-04-16,2023-04-16,0,0,On Time,1,5,0,Clear,Moderate
FK2023000102,2023-08-31,12,Thursday,0,0,0,Agra,Uttar Pradesh,North,Tier3,WH004,Kolkata,0,Grocery,3882,431.83,20,345.46,Standard,Debit Card,6,6,2023-09-06,2023-09-06,0,0,On Time,1,5,0,Rain,Light
FK2023000103,2023-03-27,18,Monday,0,0,0,Gwalior,Madhya Pradesh,Central,Tier3,WH002,Mumbai,0,Home & Kitchen,2138,2101.87,20,1681.5,Standard,UPI,5,6,2023-04-01,2023-04-02,1,1,Slight Delay,1,5,0,Fog,Moderate
FK2023000104,2023-10-24,12,Tuesday,0,1,0,Lucknow,Uttar Pradesh,North,Tier2,WH007,Chandigarh,1,Beauty,355,514.68,15,437.48,Same-Day,Net Banking,1,1,2023-10-25,2023-10-25,0,0,On Time,1,5,0,Clear,Moderate
FK2023000105,2023-02-08,16,Wednesday,0,0,0,Ujjain,Madhya Pradesh,Central,Tier3,WH004,Kolkata,0,Fashion,250,4958.49,20,3966.79,Standard,Cash on Delivery,7,7,2023-02-15,2023-02-15,0,0,On Time,1,4,0,Fog,Heavy
